Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:35.591 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:35.591 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:35.591 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:40.255 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:40.645 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:40.646 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:40.646 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:44.747 | ERROR    | __main__:prune_old_activations:184 - Failed to prune outdated activations [Errno 2] No such file or directory: './forward_activations.jsonl'
2025-08-21 00:54:44.748 | INFO     | __main__:get_registration_data:202 - Read registration data from registration_data.json: layer: 2
2025-08-21 00:54:45.256 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:45.697 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:45.697 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:45.697 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:50.261 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:50.639 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:50.639 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:50.640 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:55.265 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:55.653 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:55.653 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:55.653 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:00.275 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:00.625 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:00.626 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:00.626 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:05.281 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:05.623 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:05.624 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:05.624 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:10.287 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:10.627 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:10.628 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:10.628 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:15.292 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:15.740 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:15.740 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:15.740 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:20.297 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:20.641 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:20.642 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:20.642 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:25.303 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:25.697 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:25.697 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:25.697 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:30.309 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:30.665 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:30.665 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:30.666 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:35.314 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:35.707 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:35.708 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:35.708 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:40.319 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:40.789 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:40.789 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:40.790 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:44.753 | ERROR    | __main__:prune_old_activations:184 - Failed to prune outdated activations [Errno 2] No such file or directory: './forward_activations.jsonl'
2025-08-21 00:55:44.753 | INFO     | __main__:get_registration_data:202 - Read registration data from registration_data.json: layer: 2
2025-08-21 00:55:45.320 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:45.763 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:45.763 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:45.763 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:50.326 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:50.764 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:50.765 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:50.765 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:55:55.331 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:55:55.725 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:55:55.726 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:55:55.726 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:56:00.335 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:00.725 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:00.725 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:00.725 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:56:05.340 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:05.778 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:05.779 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:05.779 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:56:10.341 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:10.821 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:10.821 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:10.821 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:56:15.346 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:15.693 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:15.694 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:15.694 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:56:18.036 | ERROR    | __main__:prune_old_activations:163 - Failed to prune outdated activations [Errno 2] No such file or directory: './forward_activations.jsonl'
2025-08-21 00:56:18.036 | INFO     | __main__:get_registration_data:172 - Registration file path: ./registration_data.json, True
2025-08-21 00:56:18.036 | INFO     | __main__:get_registration_data:181 - Read registration data from registration_data.json: layer: 2
2025-08-21 00:56:23.043 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:23.461 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:23.462 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:23.462 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:28.045 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:28.452 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:28.453 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:28.453 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:33.051 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:33.447 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:33.447 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:33.447 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:38.056 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:38.393 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:38.393 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:38.394 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:43.062 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:43.416 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:43.417 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:43.417 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:48.068 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:48.411 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:48.411 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:48.412 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:53.071 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:53.412 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:53.413 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:53.413 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:56:58.076 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:56:58.476 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:56:58.476 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:56:58.476 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'ActivationPoller' object has no attribute 'hotkey'
2025-08-21 00:57:01.929 | ERROR    | __main__:prune_old_activations:163 - Failed to prune outdated activations [Errno 2] No such file or directory: './forward_activations.jsonl'
2025-08-21 00:57:01.929 | INFO     | __main__:get_registration_data:172 - Registration file path: ./registration_data.json, True
2025-08-21 00:57:01.929 | INFO     | __main__:get_registration_data:181 - Read registration data from registration_data.json: layer: 2
2025-08-21 00:57:06.935 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
